ticker,source,exchange,symbol,segment,item,alert,o,h,l,c,v,ltp,bid,ask,bidVol,askVol,delta,spread,date,change,pctChange,percentChange,sourceType,direction,sortIndex
BINANCE:SPOT:ADAUSDT,blr1,BINANCE,ADAUSDT,SPOT,[object Object],,0.4431,0.4554,0.4312,0.4375,100016964.7,0.4375,0.4375,0.4375,0,0,0,0,12/7/2023,-0.0054,-1.22,-1.22,TICK,1,0
BINANCE:SPOT:ALCXUSDT,blr1,BINANCE,ALCXUSDT,SPOT,[object Object],,18.89,19.74,18.7,19.11,33624.7755,19.11,19.11,19.11,0,0,0,0,12/7/2023,0.24,1.27,1.27,TICK,0,1
BINANCE:SPOT:API3USDT,blr1,BINANCE,API3USDT,SPOT,[object Object],,1.439,1.48,1.417,1.477,788250.59,1.477,1.477,1.477,0,0,0,0,12/7/2023,0.037,2.57,2.57,TICK,0,2
BINANCE:SPOT:ARUSDT,blr1,BINANCE,ARUSDT,SPOT,[object Object],,7.884,8.229,7.817,8.071,267819.26,8.071,8.071,8.071,0,0,0,0,12/7/2023,0.186,2.36,2.36,TICK,1,3
BINANCE:SPOT:BCHUSDT,blr1,BINANCE,BCHUSDT,SPOT,[object Object],,244.6,249.3,239.2,244.1,50703.202,244.1,244.1,244.1,0,0,0,0,12/7/2023,-0.5,-0.2,-0.2,TICK,-1,4
BINANCE:SPOT:BLZUSDT,blr1,BINANCE,BLZUSDT,SPOT,[object Object],,0.2614,0.2738,0.2588,0.2709,18156386,0.2709,0.2709,0.2709,0,0,0,0,12/7/2023,0.0094,3.59,3.59,TICK,0,5
BINANCE:SPOT:BONDUSDT,blr1,BINANCE,BONDUSDT,SPOT,[object Object],,3.649,3.761,3.565,3.717,616889.6,3.717,3.717,3.717,0,0,0,0,12/7/2023,0.067,1.84,1.84,TICK,0,6
BINANCE:SPOT:COSUSDT,blr1,BINANCE,COSUSDT,SPOT,[object Object],,0.00705,0.0073,0.00697,0.00721,69847859.6,0.00721,0.00721,0.00721,0,0,0,0,12/7/2023,0.0002,2.56,2.56,TICK,0,7
BINANCE:SPOT:ILVUSDT,blr1,BINANCE,ILVUSDT,SPOT,[object Object],,97.08,100.96,95.41,99.05,70466.976,99.05,99.05,99.05,0,0,0,0,12/7/2023,1.98,2.04,2.04,TICK,-1,8
BINANCE:SPOT:KLAYUSDT,blr1,BINANCE,KLAYUSDT,SPOT,[object Object],,0.2143,0.2249,0.2136,0.2189,22969314.4,0.2189,0.2189,0.2189,0,0,0,0,12/7/2023,0.005,2.34,2.34,TICK,0,9
BINANCE:SPOT:LTOUSDT,blr1,BINANCE,LTOUSDT,SPOT,[object Object],,0.0755,0.0761,0.0725,0.074,5379191,0.074,0.074,0.074,0,0,0,0,12/7/2023,-0.0015,-1.99,-1.99,TICK,0,10
BINANCE:SPOT:QTUMUSDT,blr1,BINANCE,QTUMUSDT,SPOT,[object Object],,3.206,3.346,3.142,3.219,1080708.4,3.219,3.219,3.219,0,0,0,0,12/7/2023,0.009,0.28,0.28,TICK,0,11
BINANCE:SPOT:RLCUSDT,blr1,BINANCE,RLCUSDT,SPOT,[object Object],,1.497,1.552,1.481,1.541,651239.4,1.541,1.541,1.541,0,0,0,0,12/7/2023,0.043,2.87,2.87,TICK,-1,12
BINANCE:SPOT:SNTUSDT,blr1,BINANCE,SNTUSDT,SPOT,[object Object],,0.04506,0.04607,0.04235,0.04384,42440159,0.04384,0.04384,0.04384,0,0,0,0,12/7/2023,-0.0012,-2.75,-2.75,TICK,0,13
BINANCE:SPOT:STORJUSDT,blr1,BINANCE,STORJUSDT,SPOT,[object Object],,0.725,0.735,0.6877,0.7107,13522962,0.7107,0.7107,0.7107,0,0,0,0,12/7/2023,-0.0142,-1.96,-1.96,TICK,-1,14
BINANCE:SPOT:SXPUSDT,blr1,BINANCE,SXPUSDT,SPOT,[object Object],,0.3746,0.3927,0.36,0.3869,32144733.8,0.3869,0.3869,0.3869,0,0,0,0,12/7/2023,0.0124,3.31,3.31,TICK,1,15
BINANCE:SPOT:UNIUSDT,blr1,BINANCE,UNIUSDT,SPOT,[object Object],,6,6.2,5.984,6.079,1442306.14,6.079,6.079,6.079,0,0,0,0,12/7/2023,0.079,1.32,1.32,TICK,0,16
BINANCE:SPOT:VOXELUSDT,blr1,BINANCE,VOXELUSDT,SPOT,[object Object],,0.216,0.2192,0.2059,0.211,3060851.4,0.211,0.211,0.211,0,0,0,0,12/7/2023,-0.0048,-2.22,-2.22,TICK,0,17
